t,popsize,poptype,poplocation
18.8836,3.92485,N1,Wall
18.8836,12.5228,N0,Lumen
18.8836,2.7724,N1,Lumen
18.989,12.7192,N0,Wall
18.989,3.95436,N1,Wall
18.989,12.7004,N0,Lumen
18.989,2.78823,N1,Lumen
19.094,12.8988,N0,Wall
19.094,3.98396,N1,Wall
19.094,12.8796,N0,Lumen
19.094,2.80408,N1,Lumen
19.1984,13.0801,N0,Wall
19.1984,4.01363,N1,Wall
19.1984,13.0606,N0,Lumen
19.1984,2.81994,N1,Lumen
19.3024,13.2632,N0,Wall
19.3024,4.04338,N1,Wall
19.3024,13.2432,N0,Lumen
19.3024,2.83582,N1,Lumen
19.4059,13.4479,N0,Wall
19.4059,4.0732,N1,Wall
19.4059,13.4275,N0,Lumen
19.4059,2.85171,N1,Lumen
19.5089,13.6343,N0,Wall
19.5089,4.1031,N1,Wall
19.5089,13.6135,N0,Lumen
19.5089,2.86762,N1,Lumen
19.6115,13.8224,N0,Wall
19.6115,4.13308,N1,Wall
19.6115,13.8012,N0,Lumen
19.6115,2.88354,N1,Lumen
19.7136,14.0123,N0,Wall
19.7136,4.16313,N1,Wall
19.7136,13.9907,N0,Lumen
19.7136,2.89948,N1,Lumen
19.8152,14.2038,N0,Wall
19.8152,4.19326,N1,Wall
19.8152,14.1818,N0,Lumen
19.8152,2.91544,N1,Lumen
19.9163,14.3971,N0,Wall
19.9163,4.22346,N1,Wall
19.9163,14.3747,N0,Lumen
19.9163,2.93141,N1,Lumen
20.017,14.5922,N0,Wall
20.017,4.25374,N1,Wall
20.017,14.5693,N0,Lumen
20.017,2.94739,N1,Lumen
20.1173,14.789,N0,Wall
20.1173,4.28409,N1,Wall
20.1173,14.7657,N0,Lumen
20.1173,2.96339,N1,Lumen
20.2171,14.9876,N0,Wall
20.2171,4.31452,N1,Wall
20.2171,14.9638,N0,Lumen
20.2171,2.97941,N1,Lumen
20.3165,15.1879,N0,Wall
20.3165,4.34503,N1,Wall
20.3165,15.1637,N0,Lumen
20.3165,2.99544,N1,Lumen
20.4154,15.39,N0,Wall
20.4154,4.37561,N1,Wall
20.4154,15.3653,N0,Lumen
20.4154,3.01148,N1,Lumen
20.5139,15.5939,N0,Wall
20.5139,4.40626,N1,Wall
20.5139,15.5687,N0,Lumen
20.5139,3.02754,N1,Lumen
20.612,15.7996,N0,Wall
20.612,4.43699,N1,Wall
20.612,15.774,N0,Lumen
20.612,3.04362,N1,Lumen
20.7096,16.007,N0,Wall
20.7096,4.46779,N1,Wall
20.7096,15.981,N0,Lumen
20.7096,3.05971,N1,Lumen
20.8068,16.2163,N0,Wall
20.8068,4.49867,N1,Wall
20.8068,16.1898,N0,Lumen
20.8068,3.07581,N1,Lumen
20.9036,16.4274,N0,Wall
20.9036,4.52962,N1,Wall
20.9036,16.4004,N0,Lumen
20.9036,3.09193,N1,Lumen
21,16.6403,N0,Wall
21,4.56064,N1,Wall
21,16.6128,N0,Lumen
21,3.10807,N1,Lumen
21.096,16.8551,N0,Wall
21.096,4.59174,N1,Wall
21.096,16.827,N0,Lumen
21.096,3.12422,N1,Lumen
21.1916,17.0716,N0,Wall
21.1916,4.62291,N1,Wall
21.1916,17.0431,N0,Lumen
21.1916,3.14038,N1,Lumen
21.2867,17.2901,N0,Wall
21.2867,4.65416,N1,Wall
21.2867,17.261,N0,Lumen
21.2867,3.15656,N1,Lumen
21.3815,17.5103,N0,Wall
21.3815,4.68548,N1,Wall
21.3815,17.4808,N0,Lumen
21.3815,3.17275,N1,Lumen
21.4758,17.7325,N0,Wall
21.4758,4.71687,N1,Wall
21.4758,17.7024,N0,Lumen
21.4758,3.18896,N1,Lumen
21.5698,17.9565,N0,Wall
21.5698,4.74833,N1,Wall
21.5698,17.9259,N0,Lumen
21.5698,3.20518,N1,Lumen
21.6634,18.1824,N0,Wall
