t,popsize,population,resource input
39.2543,12.333,N1,50
39.297,191.135,N0,50
39.297,12.3667,N1,50
39.3395,192.224,N0,50
39.3395,12.4004,N1,50
39.382,193.317,N0,50
39.382,12.4342,N1,50
39.4245,194.414,N0,50
39.4245,12.468,N1,50
39.4668,195.515,N0,50
39.4668,12.5018,N1,50
39.509,196.62,N0,50
39.509,12.5357,N1,50
39.5512,197.729,N0,50
39.5512,12.5696,N1,50
39.5933,198.842,N0,50
39.5933,12.6035,N1,50
39.6353,199.96,N0,50
39.6353,12.6374,N1,50
39.6773,201.082,N0,50
39.6773,12.6714,N1,50
39.7191,202.208,N0,50
39.7191,12.7054,N1,50
39.7609,203.338,N0,50
39.7609,12.7394,N1,50
39.8026,204.473,N0,50
39.8026,12.7734,N1,50
39.8443,205.611,N0,50
39.8443,12.8075,N1,50
39.8858,206.754,N0,50
39.8858,12.8416,N1,50
39.9273,207.901,N0,50
39.9273,12.8758,N1,50
39.9687,209.052,N0,50
39.9687,12.9099,N1,50
40.01,210.208,N0,50
40.01,12.9441,N1,50
40.0513,211.368,N0,50
40.0513,12.9783,N1,50
40.0924,212.532,N0,50
40.0924,13.0126,N1,50
40.1335,213.7,N0,50
40.1335,13.0468,N1,50
40.1745,214.873,N0,50
40.1745,13.0811,N1,50
40.2155,216.049,N0,50
40.2155,13.1155,N1,50
40.2564,217.23,N0,50
40.2564,13.1498,N1,50
40.2972,218.416,N0,50
40.2972,13.1842,N1,50
40.3379,219.606,N0,50
40.3379,13.2186,N1,50
40.3785,220.8,N0,50
40.3785,13.253,N1,50
40.4191,221.998,N0,50
40.4191,13.2875,N1,50
40.4596,223.201,N0,50
40.4596,13.322,N1,50
40.5,224.408,N0,50
40.5,13.3565,N1,50
40.5404,225.619,N0,50
40.5404,13.391,N1,50
40.5807,226.835,N0,50
