pars1,popsize,population,location
219,1943.62,N1,Lumen
220,2232.13,N0,Wall
220,0,N1,Wall
220,13.3599,N0,Lumen
220,1943.6,N1,Lumen
221,2232.13,N0,Wall
221,0,N1,Wall
221,13.3583,N0,Lumen
221,1943.59,N1,Lumen
222,2232.13,N0,Wall
222,0,N1,Wall
222,13.3567,N0,Lumen
222,1943.57,N1,Lumen
223,2232.13,N0,Wall
223,0,N1,Wall
223,13.3551,N0,Lumen
223,1943.56,N1,Lumen
224,2232.13,N0,Wall
224,0,N1,Wall
224,13.3536,N0,Lumen
224,1943.54,N1,Lumen
225,2232.13,N0,Wall
225,0,N1,Wall
225,13.352,N0,Lumen
225,1943.53,N1,Lumen
226,2232.13,N0,Wall
226,0,N1,Wall
226,13.3505,N0,Lumen
226,1943.51,N1,Lumen
227,2232.13,N0,Wall
227,0,N1,Wall
227,13.349,N0,Lumen
227,1943.49,N1,Lumen
228,2232.13,N0,Wall
228,0,N1,Wall
228,13.3475,N0,Lumen
228,1943.48,N1,Lumen
229,2232.13,N0,Wall
229,0,N1,Wall
229,13.346,N0,Lumen
229,1943.46,N1,Lumen
230,2232.13,N0,Wall
230,0,N1,Wall
230,13.3446,N0,Lumen
230,1943.45,N1,Lumen
231,2232.13,N0,Wall
231,0,N1,Wall
231,13.3431,N0,Lumen
231,1943.44,N1,Lumen
232,2232.13,N0,Wall
232,0,N1,Wall
232,13.3417,N0,Lumen
232,1943.42,N1,Lumen
233,2232.13,N0,Wall
233,0,N1,Wall
233,13.3402,N0,Lumen
233,1943.41,N1,Lumen
234,2232.13,N0,Wall
234,0,N1,Wall
234,13.3388,N0,Lumen
234,1943.39,N1,Lumen
235,2232.13,N0,Wall
235,0,N1,Wall
235,13.3374,N0,Lumen
235,1943.38,N1,Lumen
236,2232.13,N0,Wall
236,0,N1,Wall
236,13.336,N0,Lumen
236,1943.36,N1,Lumen
237,2232.13,N0,Wall
237,0,N1,Wall
237,13.3346,N0,Lumen
237,1943.35,N1,Lumen
238,2232.13,N0,Wall
238,0,N1,Wall
238,13.3333,N0,Lumen
238,1943.34,N1,Lumen
239,2232.13,N0,Wall
239,0,N1,Wall
239,13.3319,N0,Lumen
239,1943.32,N1,Lumen
240,2232.13,N0,Wall
240,0,N1,Wall
240,13.3306,N0,Lumen
240,1943.31,N1,Lumen
241,2232.13,N0,Wall
241,0,N1,Wall
241,13.3293,N0,Lumen
241,1943.3,N1,Lumen
242,2232.13,N0,Wall
242,0,N1,Wall
242,13.3279,N0,Lumen
242,1943.28,N1,Lumen
243,2232.13,N0,Wall
243,0,N1,Wall
243,13.3266,N0,Lumen
243,1943.27,N1,Lumen
244,2232.13,N0,Wall
244,0,N1,Wall
244,13.3253,N0,Lumen
244,1943.26,N1,Lumen
245,2232.13,N0,Wall
245,0,N1,Wall
245,13.3241,N0,Lumen
245,1943.24,N1,Lumen
246,2232.13,N0,Wall
246,0,N1,Wall
246,13.3228,N0,Lumen
246,1943.23,N1,Lumen
247,2232.13,N0,Wall
247,0,N1,Wall
247,13.3215,N0,Lumen
247,1943.22,N1,Lumen
248,2232.13,N0,Wall
248,0,N1,Wall
248,13.3203,N0,Lumen
248,1943.21,N1,Lumen
249,2232.13,N0,Wall
249,0,N1,Wall
249,13.319,N0,Lumen
249,1943.19,N1,Lumen
250,2232.13,N0,Wall
250,0,N1,Wall
250,13.3178,N0,Lumen
250,1943.18,N1,Lumen
251,2232.13,N0,Wall
251,0,N1,Wall
251,13.3166,N0,Lumen
251,1943.17,N1,Lumen
252,2232.13,N0,Wall
252,0,N1,Wall
252,13.3154,N0,Lumen
252,1943.16,N1,Lumen
253,2232.13,N0,Wall
253,0,N1,Wall
253,13.3142,N0,Lumen
