N0,N1,Sin,c
3165.67,1.80374e+08,132,3.16228e-07
3165.64,1.81974e+08,133,3.16228e-07
3165.61,1.83574e+08,134,3.16228e-07
3165.58,1.85174e+08,135,3.16228e-07
3165.55,1.86774e+08,136,3.16228e-07
3165.53,1.88374e+08,137,3.16228e-07
3165.5,1.89974e+08,138,3.16228e-07
3165.47,1.91574e+08,139,3.16228e-07
3165.44,1.93174e+08,140,3.16228e-07
3165.42,1.94774e+08,141,3.16228e-07
3165.39,1.96374e+08,142,3.16228e-07
3165.37,1.97974e+08,143,3.16228e-07
3165.34,1.99574e+08,144,3.16228e-07
3165.32,2.01174e+08,145,3.16228e-07
3165.29,2.02774e+08,146,3.16228e-07
3165.27,2.04374e+08,147,3.16228e-07
3165.25,2.05974e+08,148,3.16228e-07
3165.22,2.07574e+08,149,3.16228e-07
3165.2,2.09174e+08,150,3.16228e-07
4.00435e-05,1.52569e-15,10,1e-07
0.000147606,1.19344e-28,11,1e-07
33.7048,1.0718e-23,12,1e-07
972240,8.92206e-16,13,1e-07
880065,19832.3,14,1e-07
621182,232697,15,1e-07
126474,368079,16,1e-07
120094,439675,17,1e-07
97152,598549,18,1e-07
47326.2,721796,19,1e-07
17323.9,1.42255e+06,20,1e-07
12707.4,2.85383e+06,21,1e-07
11600.1,4.41741e+06,22,1e-07
11130.9,6.00258e+06,23,1e-07
10873.6,7.59446e+06,24,1e-07
10711.4,9.18935e+06,25,1e-07
10599.9,1.07858e+07,26,1e-07
10518.6,1.23833e+07,27,1e-07
10456.7,1.39813e+07,28,1e-07
10407.9,1.55798e+07,29,1e-07
10368.6,1.71785e+07,30,1e-07
10336.2,1.87775e+07,31,1e-07
10309,2.03766e+07,32,1e-07
10285.9,2.19759e+07,33,1e-07
10266,2.35753e+07,34,1e-07
10248.7,2.51747e+07,35,1e-07
10233.5,2.67743e+07,36,1e-07
10220,2.83738e+07,37,1e-07
10208,2.99735e+07,38,1e-07
10197.3,3.15731e+07,39,1e-07
10187.6,3.31728e+07,40,1e-07
10178.8,3.47725e+07,41,1e-07
10170.8,3.63723e+07,42,1e-07
10163.5,3.7972e+07,43,1e-07
10156.8,3.95718e+07,44,1e-07
10150.6,4.11716e+07,45,1e-07
10144.9,4.27715e+07,46,1e-07
10139.6,4.43713e+07,47,1e-07
10134.7,4.59711e+07,48,1e-07
10130.1,4.7571e+07,49,1e-07
10125.8,4.91709e+07,50,1e-07
10121.8,5.07707e+07,51,1e-07
10118,5.23706e+07,52,1e-07
10114.5,5.39705e+07,53,1e-07
10111.2,5.55704e+07,54,1e-07
10108,5.71703e+07,55,1e-07
10105.1,5.87702e+07,56,1e-07
10102.2,6.03701e+07,57,1e-07
10099.6,6.197e+07,58,1e-07
10097,6.35699e+07,59,1e-07
10094.6,6.51699e+07,60,1e-07
10092.4,6.67698e+07,61,1e-07
10090.2,6.83697e+07,62,1e-07
10088.1,6.99697e+07,63,1e-07
10086.1,7.15696e+07,64,1e-07
10084.2,7.31695e+07,65,1e-07
10082.4,7.47695e+07,66,1e-07
10080.7,7.63694e+07,67,1e-07
10079,7.79694e+07,68,1e-07
10077.4,7.95693e+07,69,1e-07
10075.8,8.11693e+07,70,1e-07
10074.4,8.27692e+07,71,1e-07
10073,8.43692e+07,72,1e-07
10071.6,8.59691e+07,73,1e-07
10070.3,8.75691e+07,74,1e-07
10069,8.91691e+07,75,1e-07
10067.8,9.0769e+07,76,1e-07
10066.6,9.2369e+07,77,1e-07
10065.5,9.3969e+07,78,1e-07
10064.3,9.55689e+07,79,1e-07
10063.3,9.71689e+07,80,1e-07
10062.3,9.87688e+07,81,1e-07
10061.3,1.00369e+08,82,1e-07
10060.3,1.01969e+08,83,1e-07
10059.3,1.03569e+08,84,1e-07
10058.4,1.05169e+08,85,1e-07
10057.6,1.06769e+08,86,1e-07
10056.7,1.08369e+08,87,1e-07
10055.9,1.09969e+08,88,1e-07
10055.1,1.11569e+08,89,1e-07
10054.3,1.13169e+08,90,1e-07
10053.5,1.14769e+08,91,1e-07
10052.8,1.16369e+08,92,1e-07
10052.1,1.17969e+08,93,1e-07
10051.4,1.19569e+08,94,1e-07
10050.7,1.21168e+08,95,1e-07
10050,1.22768e+08,96,1e-07
10049.4,1.24368e+08,97,1e-07
10048.7,1.25968e+08,98,1e-07
10048.1,1.27568e+08,99,1e-07
10047.5,1.29168e+08,100,1e-07
10046.9,1.30768e+08,101,1e-07
10046.4,1.32368e+08,102,1e-07
10045.8,1.33968e+08,103,1e-07
10045.3,1.35568e+08,104,1e-07
10044.7,1.37168e+08,105,1e-07
10044.2,1.38768e+08,106,1e-07
10043.7,1.40368e+08,107,1e-07
10043.2,1.41968e+08,108,1e-07
10042.7,1.43568e+08,109,1e-07
10042.3,1.45168e+08,110,1e-07
10041.8,1.46768e+08,111,1e-07
10041.4,1.48368e+08,112,1e-07
10040.9,1.49968e+08,113,1e-07
10040.5,1.51568e+08,114,1e-07
10040.1,1.53168e+08,115,1e-07
10039.6,1.54768e+08,116,1e-07
10039.2,1.56368e+08,117,1e-07
10038.8,1.57968e+08,118,1e-07
10038.4,1.59568e+08,119,1e-07
10038.1,1.61168e+08,120,1e-07
10037.7,1.62768e+08,121,1e-07
