time,size,population,location
4.17642,3.35148e-05,N1,Wall
4.17642,0,AB,Wall
4.17642,15.9855,R,Lumen
4.17642,1.98263,N0,Lumen
4.17642,2.87282e-05,N1,Lumen
4.17642,29.993,AB,Lumen
4.23633,15.9757,R,Wall
4.23633,4.22799,N0,Wall
4.23633,3.40997e-05,N1,Wall
4.23633,0,AB,Wall
4.23633,15.9852,R,Lumen
4.23633,2.00218,N0,Lumen
4.23633,2.91663e-05,N1,Lumen
4.23633,29.9929,AB,Lumen
4.29583,15.9752,R,Wall
4.29583,4.31446,N0,Wall
4.29583,3.46907e-05,N1,Wall
4.29583,0,AB,Wall
4.29583,15.985,R,Lumen
4.29583,2.0218,N0,Lumen
4.29583,2.96081e-05,N1,Lumen
4.29583,29.9928,AB,Lumen
4.35494,15.9746,R,Wall
4.35494,4.4021,N0,Wall
4.35494,3.52879e-05,N1,Wall
4.35494,0,AB,Wall
4.35494,15.9848,R,Lumen
4.35494,2.04147,N0,Lumen
4.35494,3.00535e-05,N1,Lumen
4.35494,29.9927,AB,Lumen
4.41365,15.974,R,Wall
4.41365,4.49091,N0,Wall
4.41365,3.58912e-05,N1,Wall
4.41365,0,AB,Wall
4.41365,15.9846,R,Lumen
4.41365,2.0612,N0,Lumen
4.41365,3.05026e-05,N1,Lumen
4.41365,29.9926,AB,Lumen
4.47198,15.9734,R,Wall
4.47198,4.58091,N0,Wall
4.47198,3.65008e-05,N1,Wall
4.47198,0,AB,Wall
4.47198,15.9844,R,Lumen
4.47198,2.08099,N0,Lumen
4.47198,3.09554e-05,N1,Lumen
4.47198,29.9925,AB,Lumen
4.52992,15.9728,R,Wall
4.52992,4.67211,N0,Wall
4.52992,3.71165e-05,N1,Wall
4.52992,0,AB,Wall
4.52992,15.9841,R,Lumen
4.52992,2.10083,N0,Lumen
4.52992,3.14118e-05,N1,Lumen
4.52992,29.9924,AB,Lumen
4.58748,15.9722,R,Wall
4.58748,4.7645,N0,Wall
4.58748,3.77384e-05,N1,Wall
4.58748,0,AB,Wall
4.58748,15.9839,R,Lumen
4.58748,2.12074,N0,Lumen
4.58748,3.1872e-05,N1,Lumen
4.58748,29.9923,AB,Lumen
4.64467,15.9716,R,Wall
4.64467,4.85811,N0,Wall
4.64467,3.83666e-05,N1,Wall
4.64467,0,AB,Wall
4.64467,15.9837,R,Lumen
4.64467,2.1407,N0,Lumen
4.64467,3.23358e-05,N1,Lumen
4.64467,29.9922,AB,Lumen
4.7015,15.971,R,Wall
4.7015,4.95293,N0,Wall
4.7015,3.9001e-05,N1,Wall
4.7015,0,AB,Wall
4.7015,15.9835,R,Lumen
4.7015,2.16072,N0,Lumen
4.7015,3.28033e-05,N1,Lumen
4.7015,29.9921,AB,Lumen
4.75796,15.9703,R,Wall
4.75796,5.04898,N0,Wall
4.75796,3.96418e-05,N1,Wall
4.75796,0,AB,Wall
4.75796,15.9833,R,Lumen
4.75796,2.1808,N0,Lumen
4.75796,3.32746e-05,N1,Lumen
4.75796,29.992,AB,Lumen
4.81406,15.9697,R,Wall
4.81406,5.14626,N0,Wall
4.81406,4.02888e-05,N1,Wall
4.81406,0,AB,Wall
4.81406,15.9831,R,Lumen
4.81406,2.20093,N0,Lumen
4.81406,3.37495e-05,N1,Lumen
4.81406,29.9919,AB,Lumen
4.8698,15.9691,R,Wall
4.8698,5.24479,N0,Wall
4.8698,4.09422e-05,N1,Wall
4.8698,0,AB,Wall
4.8698,15.9828,R,Lumen
4.8698,2.22112,N0,Lumen
4.8698,3.42282e-05,N1,Lumen
4.8698,29.9918,AB,Lumen
4.9252,15.9684,R,Wall
4.9252,5.34456,N0,Wall
4.9252,4.16019e-05,N1,Wall
4.9252,0,AB,Wall
4.9252,15.9826,R,Lumen
4.9252,2.24137,N0,Lumen
4.9252,3.47105e-05,N1,Lumen
4.9252,29.9917,AB,Lumen
4.98025,15.9678,R,Wall
4.98025,5.44559,N0,Wall
4.98025,4.22681e-05,N1,Wall
4.98025,0,AB,Wall
4.98025,15.9824,R,Lumen
4.98025,2.26167,N0,Lumen
4.98025,3.51966e-05,N1,Lumen
4.98025,29.9916,AB,Lumen
5.03497,15.9671,R,Wall
5.03497,5.54788,N0,Wall
5.03497,4.29406e-05,N1,Wall
5.03497,0,AB,Wall
5.03497,15.9822,R,Lumen
5.03497,2.28203,N0,Lumen
5.03497,3.56865e-05,N1,Lumen
5.03497,29.9915,AB,Lumen
5.08934,15.9664,R,Wall
5.08934,5.65145,N0,Wall
5.08934,4.36195e-05,N1,Wall
5.08934,0,AB,Wall
5.08934,15.982,R,Lumen
5.08934,2.30245,N0,Lumen
5.08934,3.618e-05,N1,Lumen
5.08934,29.9914,AB,Lumen
5.14338,15.9658,R,Wall
5.14338,5.7563,N0,Wall
5.14338,4.43048e-05,N1,Wall
5.14338,0,AB,Wall
5.14338,15.9818,R,Lumen
5.14338,2.32292,N0,Lumen
5.14338,3.66774e-05,N1,Lumen
5.14338,29.9913,AB,Lumen
5.1971,15.9651,R,Wall
5.1971,5.86244,N0,Wall
5.1971,4.49967e-05,N1,Wall
5.1971,0,AB,Wall
5.1971,15.9815,R,Lumen
5.1971,2.34345,N0,Lumen
5.1971,3.71784e-05,N1,Lumen
5.1971,29.9912,AB,Lumen
5.25049,15.9644,R,Wall
5.25049,5.96987,N0,Wall
5.25049,4.56949e-05,N1,Wall
5.25049,0,AB,Wall
5.25049,15.9813,R,Lumen
5.25049,2.36403,N0,Lumen
5.25049,3.76832e-05,N1,Lumen
5.25049,29.9911,AB,Lumen
5.30356,15.9637,R,Wall
5.30356,6.07861,N0,Wall
5.30356,4.63997e-05,N1,Wall
5.30356,0,AB,Wall
5.30356,15.9811,R,Lumen
5.30356,2.38467,N0,Lumen
5.30356,3.81918e-05,N1,Lumen
5.30356,29.991,AB,Lumen
5.35631,15.963,R,Wall
5.35631,6.18866,N0,Wall
5.35631,4.71111e-05,N1,Wall
5.35631,0,AB,Wall
5.35631,15.9809,R,Lumen
5.35631,2.40537,N0,Lumen
5.35631,3.87042e-05,N1,Lumen
5.35631,29.9909,AB,Lumen
5.40875,15.9622,R,Wall
5.40875,6.30003,N0,Wall
5.40875,4.78289e-05,N1,Wall
5.40875,0,AB,Wall
5.40875,15.9807,R,Lumen
5.40875,2.42612,N0,Lumen
5.40875,3.92203e-05,N1,Lumen
5.40875,29.9908,AB,Lumen
5.46088,15.9615,R,Wall
5.46088,6.41273,N0,Wall
5.46088,4.85533e-05,N1,Wall
5.46088,0,AB,Wall
5.46088,15.9805,R,Lumen
5.46088,2.44692,N0,Lumen
5.46088,3.97402e-05,N1,Lumen
5.46088,29.9907,AB,Lumen
5.51271,15.9608,R,Wall
5.51271,6.52677,N0,Wall
5.51271,4.92844e-05,N1,Wall
5.51271,0,AB,Wall
5.51271,15.9802,R,Lumen
5.51271,2.46778,N0,Lumen
5.51271,4.02639e-05,N1,Lumen
5.51271,29.9906,AB,Lumen
5.56423,15.96,R,Wall
5.56423,6.64215,N0,Wall
5.56423,5.0022e-05,N1,Wall
5.56423,0,AB,Wall
5.56423,15.98,R,Lumen
5.56423,2.48869,N0,Lumen
5.56423,4.07913e-05,N1,Lumen
5.56423,29.9904,AB,Lumen
5.61545,15.9593,R,Wall
5.61545,6.75888,N0,Wall
5.61545,5.07662e-05,N1,Wall
5.61545,0,AB,Wall
5.61545,15.9798,R,Lumen
5.61545,2.50966,N0,Lumen
5.61545,4.13226e-05,N1,Lumen
5.61545,29.9903,AB,Lumen
5.66639,15.9585,R,Wall
5.66639,6.87697,N0,Wall
5.66639,5.15171e-05,N1,Wall
5.66639,0,AB,Wall
5.66639,15.9796,R,Lumen
5.66639,2.53069,N0,Lumen
5.66639,4.18577e-05,N1,Lumen
5.66639,29.9902,AB,Lumen
5.71702,15.9578,R,Wall
5.71702,6.99644,N0,Wall
5.71702,5.22746e-05,N1,Wall
5.71702,0,AB,Wall
5.71702,15.9794,R,Lumen
5.71702,2.55176,N0,Lumen
5.71702,4.23965e-05,N1,Lumen
5.71702,29.9901,AB,Lumen
5.76738,15.957,R,Wall
5.76738,7.11727,N0,Wall
5.76738,5.30389e-05,N1,Wall
